RA    DEC      velocity   
       119.81745       23.849495      2349.16
       129.95109       31.681738      914.841
       135.11760       35.669474      3362.34
       142.16606       38.563660      3987.62
       152.93330       43.463566      3925.83
       154.98595       43.319755      3950.31
       169.86693       9.5956308      1226.30
       176.99588       10.140552      3037.30
       183.17693       10.852609      338.645
       146.41682       7.0127626      3993.52
       144.66784       8.1360877      3491.60
       147.67637       8.7314333      2949.41
       57.893096      -1.2262634      3017.73
       56.330332     -0.96597789      3961.40
       64.695499       28.335054      333.228
       65.683702       32.378930      2001.17
       69.927682       24.420739      3781.35
       70.096894       24.900589      3884.97
       72.744963       26.220488      3258.26
       124.70233       26.372532      375.717
       127.65096       29.426348      3803.00
       130.12064       29.283385      2340.56
       131.25112       30.540867      2285.61
       133.16057       32.459353      323.315
       137.63229       33.058321      2244.80
       202.13172       49.627672      704.907
       203.92499       49.176530      931.903
       204.99861       48.145913      1934.36
       205.58397       48.682685      751.038
       212.27686       47.009528      3725.71
       211.95621       46.806534      982.297
       212.28107       46.786207      3828.00
       230.68244       39.564915      345.621
       128.19094       6.6233392      352.581
       144.35957       8.6894836      3423.74
       148.53029       9.3600094      1746.02
       148.62691       9.8700134      1722.75
       147.90915       10.439693      3980.46
       171.55862       56.802243      3095.52
       172.10045       57.246989      2064.34
       171.77705       57.010777      2363.29
       175.58179       57.895510      1693.62
       179.47584       56.638123      709.297
       185.64968       58.471994      3193.69
       185.31366       58.085217      2935.45
       210.66016       54.247528      514.532
       210.75486       54.241538      503.010
       210.80677       54.261872      525.985
       210.62463       54.355231      535.724
       210.61760       54.274024      499.128
       210.72535       54.274566      516.945
       210.97286       54.369226      597.542
       210.69440       54.370053      580.307
       211.04700       54.421382      607.162
       210.72017       54.409181      605.241
       210.93122       54.490529      631.871
       210.93298       54.488254      641.802
       210.58743       54.334597      533.334
       210.80562       54.595349      597.768
       210.14376       55.254246      3759.08
       210.63783       54.425162      561.382
       210.70992       54.369178      545.512
       210.84331       54.260012      549.449
       210.58416       54.334041      526.671
       210.13518       55.246166      3698.61
       214.52706       54.194535      3306.16
       211.24076       53.691226      588.324
       210.88761       54.387811      613.450
       212.23253       55.022164      2275.53
       211.97772       54.703452      2084.03
       213.53877       54.770463      2066.99
       218.13971       52.412928      3287.00
       218.08606       53.439093      2334.43
       223.57205       49.527920      3882.93
       224.84708       50.929007      3304.57
       226.08126       50.541385      3904.33
       226.31476       50.765888      3542.14
